pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,exportdt
Lead (2008),,MISSOURI,MO,29,179,Reynolds Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,MISSOURI,MO,29,183,St Charles Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,MISSOURI,MO,29,183,St Charles Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2/28/21
8-Hour Ozone (2008),,MISSOURI,MO,29,183,St Charles Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
PM-2.5 (1997),,MISSOURI,MO,29,183,St Charles Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2/28/21
1-Hour Ozone (1979),Revoked,MISSOURI,MO,29,510,St Louis,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,MISSOURI,MO,29,510,St Louis,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2/28/21
8-Hour Ozone (2008),,MISSOURI,MO,29,510,St Louis,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
Carbon Monoxide (1971),,MISSOURI,MO,29,510,St Louis,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,MISSOURI,MO,29,510,St Louis,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2/28/21
1-Hour Ozone (1979),Revoked,MISSOURI,MO,29,189,St Louis Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,MISSOURI,MO,29,189,St Louis Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2/28/21
8-Hour Ozone (2008),,MISSOURI,MO,29,189,St Louis Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
Carbon Monoxide (1971),,MISSOURI,MO,29,189,St Louis Co,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,MISSOURI,MO,29,189,St Louis Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2/28/21
8-Hour Ozone (2015),,MISSOURI,MO,29,183,St. Charles Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
8-Hour Ozone (2015),,MISSOURI,MO,29,189,St. Louis Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
8-Hour Ozone (2015),,MISSOURI,MO,29,510,St. Louis city,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
8-Hour Ozone (2008),,MISSISSIPPI,MS,28,033,De Soto Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,,,2/28/21
Carbon Monoxide (1971),,MONTANA,MT,30,013,Cascade Co,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,MONTANA,MT,30,029,Flathead Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,MONTANA,MT,30,047,Lake Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Lead (1978),,MONTANA,MT,30,049,Lewis And Clark Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,2/28/21
Sulfur Dioxide (1971),,MONTANA,MT,30,049,Lewis And Clark Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,2/28/21
PM-10 (1987),,MONTANA,MT,30,053,Lincoln Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,2/28/21
PM-2.5 (1997),,MONTANA,MT,30,053,Lincoln Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Carbon Monoxide (1971),,MONTANA,MT,30,063,Missoula Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,MONTANA,MT,30,063,Missoula Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,2/28/21
PM-10 (1987),,MONTANA,MT,30,087,Rosebud Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,MONTANA,MT,30,089,Sanders Co,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,MONTANA,MT,30,093,Silver Bow Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Carbon Monoxide (1971),,MONTANA,MT,30,111,Yellowstone Co,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (1971),,MONTANA,MT,30,111,Yellowstone Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Sulfur Dioxide (2010),,MONTANA,MT,30,111,Yellowstone Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,025,Cabarrus Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,025,Cabarrus Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
PM-2.5 (1997),,NORTH CAROLINA,NC,37,035,Catawba Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,037,Chatham Co,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,057,Davidson Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NORTH CAROLINA,NC,37,057,Davidson Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,059,Davie Co,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,063,Durham Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,063,Durham Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,063,Durham Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,065,Edgecombe Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,067,Forsyth Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,067,Forsyth Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,069,Franklin Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,071,Gaston Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,071,Gaston Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,071,Gaston Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,077,Granville Co,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,077,Granville Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,081,Guilford Co,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NORTH CAROLINA,NC,37,081,Guilford Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,087,Haywood Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,097,Iredell Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,097,Iredell Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,101,Johnston Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,109,Lincoln Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,109,Lincoln Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,119,Mecklenburg Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,119,Mecklenburg Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,119,Mecklenburg Co,,,,,,,,,,,,,,,,,,,,,W,W,W,,,,,,,,2/28/21
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,119,Mecklenburg Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,127,Nash Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,135,Orange Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,145,Person Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,159,Rowan Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,159,Rowan Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,173,Swain Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,179,Union Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,NORTH CAROLINA,NC,37,179,Union Co,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NORTH CAROLINA,NC,37,183,Wake Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NORTH CAROLINA,NC,37,183,Wake Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,NORTH CAROLINA,NC,37,183,Wake Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Lead (1978),,NEBRASKA,NE,31,055,Douglas Co,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,005,Cheshire Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,011,Hillsborough Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,011,Hillsborough Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,NEW HAMPSHIRE,NH,33,011,Hillsborough Co,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,011,Hillsborough Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,013,Merrimack Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,013,Merrimack Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,013,Merrimack Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,015,Rockingham Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,015,Rockingham Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,NEW HAMPSHIRE,NH,33,015,Rockingham Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW HAMPSHIRE,NH,33,017,Strafford Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW HAMPSHIRE,NH,33,017,Strafford Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,001,Atlantic Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,001,Atlantic Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,001,Atlantic Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,001,Atlantic Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,001,Atlantic Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,003,Bergen Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,003,Bergen Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,003,Bergen Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,003,Bergen Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,003,Bergen Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,003,Bergen Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,003,Bergen Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,005,Burlington Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,005,Burlington Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,005,Burlington Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,005,Burlington Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,005,Burlington Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,005,Burlington Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,005,Burlington Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,007,Camden Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,007,Camden Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,007,Camden Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,007,Camden Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,007,Camden Co,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,007,Camden Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,007,Camden Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,009,Cape May Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,009,Cape May Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,009,Cape May Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,009,Cape May Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,011,Cumberland Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,011,Cumberland Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,011,Cumberland Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,011,Cumberland Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,013,Essex Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,013,Essex Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,013,Essex Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,013,Essex Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,013,Essex Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,013,Essex Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,013,Essex Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,015,Gloucester Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,015,Gloucester Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,015,Gloucester Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,015,Gloucester Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,015,Gloucester Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,015,Gloucester Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,017,Hudson Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,017,Hudson Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,017,Hudson Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,017,Hudson Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,017,Hudson Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,017,Hudson Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,017,Hudson Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,019,Hunterdon Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,019,Hunterdon Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,019,Hunterdon Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,019,Hunterdon Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,021,Mercer Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,021,Mercer Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,021,Mercer Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,021,Mercer Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,021,Mercer Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,021,Mercer Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,021,Mercer Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,023,Middlesex Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,NEW JERSEY,NJ,34,023,Middlesex Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (2008),,NEW JERSEY,NJ,34,023,Middlesex Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,NEW JERSEY,NJ,34,023,Middlesex Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Carbon Monoxide (1971),,NEW JERSEY,NJ,34,023,Middlesex Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,NEW JERSEY,NJ,34,023,Middlesex Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
PM-2.5 (2006),,NEW JERSEY,NJ,34,023,Middlesex Co,,,,,,,,,,,,,,,,,,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,NEW JERSEY,NJ,34,025,Monmouth Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
