pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),KANSAS,KS,20,173,Sedgwick County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),KANSAS,KS,20,209,Wyandotte County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,015,Boone County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,019,Boyd County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,029,Bullitt County,,,,,,,,,,,,,P
1-Hr Ozone (1979),KENTUCKY,KY,21,037,Campbell County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,059,Daviess County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,061,Edmonson County,,,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,067,Fayette County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,089,Greenup County,,,,,,,,,,,,,P
1-Hr Ozone (1979),KENTUCKY,KY,21,091,Hancock County,,,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,101,Henderson County,W,W,W,W,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,111,Jefferson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,117,Kenton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),KENTUCKY,KY,21,139,Livingston County,,,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,145,McCracken County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,157,Marshall County,,,,,,,,,,,,,
1-Hr Ozone (1979),KENTUCKY,KY,21,185,Oldham County,,,,,,,,,,,,,P
1-Hr Ozone (1979),KENTUCKY,KY,21,209,Scott County,,,,,,,,,,,,,
1-Hr Ozone (1979),LOUISIANA,LA,22,005,Ascension Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,011,Beauregard Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,015,Bossier Parish,,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,017,Caddo Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,019,Calcasieu Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,033,East Baton Rouge Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,043,Grant Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,047,Iberville Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,051,Jefferson Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,055,Lafayette Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,057,Lafourche Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,063,Livingston Par,,,,,,,,,,,,,W
1-Hr Ozone (1979),LOUISIANA,LA,22,071,Orleans Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,077,Pointe Coupee Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,087,St. Bernard Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,089,St. Charles Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,093,St. James Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,095,St. John the Baptist Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,101,St. Mary Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),LOUISIANA,LA,22,121,West Baton Rouge Parish,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,001,Androscoggin County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,005,Cumberland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,007,Franklin County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),MAINE,ME,23,009,Hancock County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),MAINE,ME,23,011,Kennebec County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,013,Knox County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,015,Lincoln County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,017,Oxford County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),MAINE,ME,23,019,Penobscot County,P,P,,,,,,,,,,,
1-Hr Ozone (1979),MAINE,ME,23,021,Piscataquis County,P,P,,,,,,,,,,,
1-Hr Ozone (1979),MAINE,ME,23,023,Sagadahoc County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,025,Somerset County,P,P,P,P,P,P,P,P,P,P,P,P,P
