STATE,STATE_FIPS,COUNTY,COUNTY_FIPS,YEAR,POP,RACE_WHT,RACE_BLK,RACE_NTV,RACE_ASN,RACE_2P,RACE_LTN,INCOME,POVERTY
Texas,48,Houston County,225,1990,21375,0.6272748538011695,0.295953216374269,0.001497076023391813,0.030128654970760234,0,0.04514619883040936,9956.268397660819,0.2344327485380117
Texas,48,Houston County,225,2000,23185,0.610739702393789,0.2793185249083459,0.0026310114298037524,0.02467112357127453,0.007634246279922364,0.07500539141686435,14515.659521242182,0.18197110200560707
Texas,48,Houston County,225,2010,23732,0.5702005730659025,0.2603657508848812,0.00400303387830777,0.05153379403337266,0.014284510365750885,0.09961233777178494,19653.545721333787,0.17778155835318135
Texas,48,Houston County,225,2019,22954,0.5863466062559902,0.2565130260521042,0.003572362115535419,0.02444018471726061,0.018297464494205804,0.11083035636490372,19129.35218262612,0.2179279643868879
Texas,48,Howard County,227,1980,33142,0.7396656810089917,0.039647577092511016,0.003650956490254058,0.006517409933015509,0,0.2105183754752278,6872.017892704122,0.14905557902359542
Texas,48,Howard County,227,1990,32343,0.5155675107442105,0.03787527440249822,0.0055344278514670876,0.17490647126116934,0,0.26611631574065486,10645.139288254028,0.19030392975296045
Texas,48,Howard County,227,2000,33627,0.4268296309513189,0.041335831326017786,0.005858387605198204,0.13034168971362298,0.021024771760787462,0.37460968864305466,15027.590805007881,0.15957415172331757
Texas,48,Howard County,227,2010,35012,0.3619616131612019,0.0622929281389238,0.009054038615331887,0.16751399520164514,0.020592939563578203,0.3785844853193191,18770.283362441663,0.1292696194920835
Texas,48,Howard County,227,2019,36349,0.40864948141627006,0.055572367878070926,0.011829761478995296,0.06687941896613386,0.031967867066494265,0.4251011031940356,24547.337863490055,0.17334812232609728
Texas,48,Hudspeth County,229,1980,2728,0.41019061583577715,0.0018328445747800588,0.005131964809384164,3.6656891495601173e-4,0,0.5824780058651027,4474.663489736071,0.30718475073313783
