TYPE,ID,SULFUR_N,SULFUR_MEAN,SULFUR_MEDIAN,SULFUR_SD,SULFUR_MIN,SULFUR_MAX,SULFUR_LOW
MSHA,1519200,23,2.0704347826086957,1.94,0.8882694015017454,0.72,3.97,FALSE
MSHA,1519203,19,2.0357894736842104,2.04,0.5011355526254979,1.12,2.94,FALSE
MSHA,1519205,1,1.52,1.52,NA,1.52,1.52,FALSE
MSHA,1519213,6,1.565,1.085,1.2127118371649548,1.03,4.04,FALSE
MSHA,1519217,819,3.0072161172161174,3.12,0.3896786538113812,2.02,4.01,FALSE
MSHA,1519238,23,1.1004347826086958,1.2,0.26256563267581423,0.44,1.38,FALSE
MSHA,1519240,15,0.976,0.89,0.227621239280144,0.76,1.47,TRUE
MSHA,1519243,1,1.53,1.53,NA,1.53,1.53,FALSE
MSHA,1519250,4,1.525,1.53,0.14798648586948737,1.34,1.7,FALSE
MSHA,1519259,1,1.04,1.04,NA,1.04,1.04,FALSE
MSHA,1519271,6,1.0733333333333333,0.9299999999999999,0.2751484447832963,0.84,1.45,TRUE
MSHA,1519272,1,0.76,0.76,NA,0.76,0.76,TRUE
MSHA,1519277,1,0.59,0.59,NA,0.59,0.59,TRUE
MSHA,1519281,7,1.6928571428571428,1.64,0.18006612542010644,1.55,2.09,FALSE
MSHA,1519288,2,0.8600000000000001,0.8600000000000001,0.07071067811865474,0.81,0.91,TRUE
MSHA,1519289,1,1.27,1.27,NA,1.27,1.27,FALSE
MSHA,1519290,1,0.79,0.79,NA,0.79,0.79,TRUE
MSHA,1519301,2,2.55,2.55,0.014142135623730963,2.54,2.56,FALSE
MSHA,1519303,3,3.2033333333333336,3.18,0.11676186592091327,3.1,3.33,FALSE
MSHA,1519304,107,1.7177570093457943,1.74,0.3275820750136016,0.88,2.47,FALSE
MSHA,1519305,4,1.1175,1.1,0.22425803590209803,0.9,1.37,FALSE
MSHA,1519312,4,1.4525,1.46,0.2422636305074839,1.15,1.74,FALSE
MSHA,1519315,26,1.2907692307692307,1.105,0.5323977691683021,0.68,2.34,FALSE
MSHA,1519321,12,1.09,1.09,0,1.09,1.09,FALSE
MSHA,1519324,7,1.3485714285714285,1.35,0.04220133150686572,1.28,1.4,FALSE
